P, A, etiqueta
"El sueño fue tan aterrador", "Debes estar sensible en estos días", 0
"Mis sueños son diversos","Cuantos más mejor",0
"Tengo dos sueños", "Está bien tener más", 0
"No tengo un sueño", "No tienes que ser grandioso", 0
"¿Se hará realidad el sueño?", "Hacer la realidad como un sueño",0
"Mi sueño sigue cambiando","Cuanto más mejor",0
"Si los sueños fueran reales","Hacer la realidad como un sueño",0
“Es inútil porque se acabó”, “No muchas cosas salen como uno quiere”, 0
"Pensé que sería lindo cuando terminara", "Debes sentirte vacío", 0
"Tuve una sensación extraña, pero me atrapó", "Espero que se solucione", 0
"Tenía una pista y me atrapó", "Espero que funcione", 0
"Debo haber sido un bote de basura emocional", "Por favor, quiérete más", 0
"Jugaste conmigo", "Espero que no", 0
"La gente como yo no debería tener animales","Lo sabes",0
"¿Por qué quieres una chica linda como yo?", "Puede ser una expresión de cariño", 0
"No puedo mentir", "Tu cara está toda manchada", 0
"Tomé una buena decisión", "Sí, ahora me toca a mí hacerlo", 0
"Ya lo he decidido","Va a haber buenos resultados",0
"¿No estoy bien?", "Soy una buena persona", 0
"¿Puedo completar mi profesión docente?", "Gestiona tus créditos", 0
"¿Qué he estado haciendo?", "Sería bueno que vinieras a tomar un poco de aire fresco", 0
"Yo soy el indicado","Encuentra un amigo que te compre comida~",0
"Tengo que ir a la residencia de estudiantes mañana", "No olvides empacar tu equipaje", 0
“Me han dicho que tengo obesidad visceral”, “Ajusta tu dieta y haz ejercicio regularmente”, 0
"Soy tan feo","Soy lo suficientemente hermoso",0
"Soy demasiado tímido","Soy meticuloso",0
"cómprame una laptop","las notebooks son caras",0
"¿Soy fácil de molestar?", "Nunca", 0
"Quien soy", "Yo tambien tengo curiosidad", 0
"Creo que me estoy perdiendo","Pídeme que revise",0
"¿Debería hacer otra cosa?", "Podría intentarlo", 0
"No soy rudo", "Aunque la gente no sepa, habrá gente que sepa", 0
"¿Qué debo hacer con la persona que habla a mis espaldas?", "No te preocupes demasiado por eso y déjalo ir", 0
"Escuché que hay un niño que está hablando a tus espaldas. ¿Qué debo hacer?", "No te preocupes demasiado por eso y pásalo como si nada", 0
"Esperaba mucho","Esperar a los demás me entristece",0
"Creo que me equivoqué","Piénsalo bien",0
"Siento que me están engañando todo el tiempo", "Por favor, déjate engañar felizmente", 0
"Creo que tengo mala cabeza","No te rindas",0
"Creo que soy el único con la cabeza", "No te rindas", 0
"Yo dormiré primero","Buenas noches",0
"¿Por qué hay tantas cosas que no sé?", "Es obvio", 0
"Parece que están saliendo en secreto","Eres ingenioso",0
“Me siento ignorado”, “No trates con personas que te hacen sentir así”, 0
“Creo que me estás ignorando”, “No trates con personas que te hacen pensar de esa manera”, 0
"Qué hacer con la gente que me ignora","Ignórame",0
"Las personas que me ignoran son molestas","Ignóralas",0
"Creo que tengo muchos problemas","Los problemas están para resolverlos",0
"¿Qué estoy haciendo?", "Estoy magullado", 0
"Me encuentro","Te deseo éxito",0
"Quiero cambiar","Puedo cambiar positivamente",0
"Supongo que soy estúpido","Un tonto no se llama tonto a sí mismo",0
"Estoy desempleado","Juega conmigo",0
"Siento que me han abandonado","No lo estoy",0
"Creo que he estado haciendo phishing de voz, ¿qué debo hacer?", "Denuncie a la policía y tome las medidas que pueda tomar", 0
“Tengo sobrepeso”, “Trata de hacer ejercicio saludablemente”, 0
"¿Me quieres?", "Te quiero mucho", 0
"Me van a dar un premio","Felicidades",0
"Me compré un traje nuevo","Empezar a usar un capullo",0
"Estoy loca por los papeles","No te rindas",0
"Estoy en una cita a ciegas","Te deseo éxito",0
"Creo que me han engañado","No te dejes engañar la próxima vez",0
"Como si me engañaran", "Me siento mal", 0
"Me voy de viaje escolar","Haz buenos recuerdos con tus amigos",0
“Supongo que soy adicto a mi smartphone”, “A veces vivo sin celular”,0
"Me ascendieron","Felicidades tanto como el cielo",0
"¿Cometí un error?", "Piénsalo con cuidado", 0
"¿Cometí un error?", "Piénsalo con cuidado", 0
"¿Soy padre?", "Si lo piensas, lo harás", 0
“Creo que todavía no soy un adulto”, “Porque la edad mental es importante, no la física”, 0
“Sigo siendo como un niño”, “Porque la edad mental es importante, no la física”, 0
"Como estoy","Soy una buena persona",0
"¿Qué hago aquí?", "Me están saliendo moretones", 0
"No puedo mentir porque soy demasiado bueno actuando", "Tu cara está toda manchada", 0
"Trabajaré duro","Esa es una buena actitud",0
"Lo siento por el perro hoy", "Yo también vivo", 0
"Me veo bonita hoy", "Creo que tengo una vaina de frijoles sobre mí", 0
"Recibí un premio hoy","Felicidades",0
"Estoy tan emocionada","Felicidades",0
"Soy un marginado","Llévate bien con tus amigos",0
"Me siento un paria","Pide ayuda a tus padres",0
"¿Por qué soy estúpido?", "Será diferente la próxima vez", 0
"¿Por qué soy así?", "No te rindas", 0
"¿Por qué soy feo?", "Eres lo suficientemente hermosa", 0
"Siento que estoy viviendo mi mente estos días", "Tranquilízate", 0
"Siento que me maldicen","No le hagas caso a los ojos de los demás",0
"Mírame raro","Mírate en el espejo",0
"Tengo un niño que me ignora","Recoge y pregunta",0
"¿Soy raro?", "Camina a tu ritmo, nadie más", 0
"Soy raro","Extremadamente ordinario y extremadamente especial",0
"Ya me gradúo","Felicidades por graduarme",0
"Quiero que me reconozcan", "Aún me va bastante bien",0
“Podré vivir mejor”, “Voy a vivir mejor que ahora”, 0
"Soy guapo","Eres guapo",0
"No sé si me va bien", "Me va a ir bien", 0
"¿Me va bien?", "Me va a ir bien", 0
"No soy bueno en nada", "Eres bueno para hablar conmigo", 0
"Creo que no soy bueno en nada", "Tal vez todavía no he encontrado algo en lo que soy bueno", 0
"Puedo hacerlo mejor", "Podré hacerlo mejor que ahora", 0
"Me estoy convirtiendo en un monstruo","No lo soy",0
“Dime que entre en razón”, “Enfócate en ti, ponte siempre primero”, 0
"No me toques","Quiero cuidarlo",0
"Dime que no me toque","Debo estar cansado",0
"Quiero que me dejes en paz", "Debes estar muy cansada", 0
"Déjame en paz", "Haz un viaje a un lugar donde no hay nadie", 0
“Espero que no me toques”, “Debes estar muy cansada”, 0
"Quiero gustarte", "Acércate a mí primero", 0
"Creo que soy genial","Estoy de acuerdo",0
"felicítame","sigo bien",0
"Quiero gustarte", "Me gustas", 0
"Creo que te gusto","¿Estás confundido si es un favor o un flechazo?",0
"Debe haber alguien que me quiera", "tú también me gustas", 0
"Tengo arrugas", "Soy bonita aunque las tenga", 0
"Estoy a punto de morir", "Espero que estés bien ahora", 0
"Creo que me van a despedir", "Vuelve al principio y trabaja duro", 0
"Me siento un poco lamentable","Yo también vivo",0
"Necesito que alguien me cuide", "Quiero cuidarlo", 0
"Parezco un genio","Me queda mucho camino por recorrer",0
"Soy un genio","Me queda mucho camino por recorrer",0
"Soy muy bueno en el fútbol","La gente que es buena en los deportes es genial",0
"Quiero ser reconocido por mis amigos", "Sigo siendo reconocido", 0
“Como si fuera bulímica”, “Observadme y centraos en la comida en sí”, 0
"Creo que soy adicto a mi teléfono", "Deja tu teléfono por un tiempo", 0
"Juego demasiados juegos de teléfono","Encuentra un momento",0
"Jugué el juego del teléfono durante unas horas","Por favor, establece una hora",0
"Yo puedo hacerlo","Luchar",0
“Quiero corregir lo que digo por descuido”, “Empezar con las ganas de corregirlo”, 0
"Estoy trabajando horas extras solo","Rezaré para que termine pronto",0
“Viajé solo y está bien”, “Debe ser un momento para sentirme plenamente”, 0
"Veo fútbol solo","Es pollo y cerveza cuando veo fútbol",0
"No puedo maquillarme demasiado", "Mejoro cuando lo hago", 0
"No soy buena maquillando","Me estiro",0
"Quiero ser reconocido por la empresa", "Intentar el autodesarrollo", 0
“Es demasiado problema para salir”, “Hay muchas cosas que hacer en casa”, 0
"Siento que estoy viviendo mi vida", "Haz un pequeño cambio hoy", 0
"Estoy de mal humor, pero sigue diciendo que es una broma", "Por favor, da la cara", 0
"Soy débil", "No soy así para nada", 0
"¿Quién soy?", "Yo también tengo curiosidad", 0
"Creo que me falta","No me falta",0
"Puedo hacer cualquier cosa","Luchar",0
"¿En qué soy bueno?", "Puede haber uno, así que esfuérzate por encontrarlo", 0
"¿Por qué soy así?", "No te rindas", 0
“Por qué nací así”, “La razón por la que nacimos diferente es para tener nuestra propia voz. Por favor escucha tu propia voz”,0
"Por qué nací", "Nací para ser amado", 0
"Creo que no sé hacer nada bien", "Deja la presión para hacerlo bien", 0
"Qué me gusta", "Experimentar varias cosas", 0
"Estoy bien...", "Debo haber chocado contra una pared de la realidad", 0
"No tengo amigos","Si mis amigos lo escuchan, se pueden poner tristes",0
"Pensé que era un amigo", "Me deben haber golpeado en la espalda", 0
"Yo también soy buena persona","Alguien me reconocerá",0
"Yo también quiero que me traten","Dime con confianza",0
"Yo también quiero usar bikini", "Dieta de combate", 0
"Yo también quiero ganar el premio","Lo conseguiré la próxima vez",0
"¿Debería cavar hierbas también?", "Ir a la montaña cercana", 0
"Yo también necesito un sueldo","Cuanto más gane, mejor",0
"Yo también quiero que me consuelen","Te consolaré mucho",0
"Yo también soy un evento","Felicidades",0
"¿Soy padre ahora?", "Si lo piensas, lo serás", 0
"¿Debería entrar en China también?", "Saber más",0
"Yo también quiero comprar una casa","Debe haber alguien con quien quiera vivir",0
"Yo también quiero lucir un look de pareja","Hacer una pareja primero",0
"Lo haré bien","Lo haré bien",0
"Salimos de paseo","Vamos juntos",0
"Un tipo como yo","Todo estará bien",0
"juega conmigo","juega conmigo",0
"Juguemos conmigo","Ya lo hago",0
"Historias que no tienen nada que ver conmigo","Olvídalo",0
“Debe haber sido duro estar conmigo”, “Por favor, entiende a la otra persona”, 0
"Me siento somnoliento","Está bien no hacer nada",0
"Quiero que me esperes", "No cargues demasiado a los demás", 0
"Me hiciste esperar demasiado", "Debo haber pensado mucho mientras esperaba", 0
"Cuídame", "Dime amablemente cuando eso suceda", 0
"Me hiciste sonreír","Haz que la otra persona también sonría",0
"Hay algo que pueda cambiarme", "Me gusta como estoy ahora", 0
"Supongo que no pensaste en mí como un amigo", "Ignora a esos amigos", 0
"¿Qué debo hacer con las personas que me conocen como un hogu?", "No se asocien conmigo", 0
"Quiero aferrarme a la persona que me hace pasar un mal rato","No procrastines",0
"Solo tócame", "Puede ser una expresión de cariño", 0
"Supongo que era el único que esperaba", "No es fácil esperar a alguien", 0
"Siento que soy el único que vive sin un sueño", "Tal vez encuentres algo que quieras hacer", 0
"Soy la única que no tiene novio","Yo sí",0
“Siento que me estoy quedando atrás”, “No te dejes atrapar por la obsesión de que tienes que competir y ganar tú mismo”, 0
"Soy el único que no tiene compañeros", "Podré hacer amigos", 0
"Te ves feliz menos yo", "Otras personas deben tener sus propias preocupaciones y preocupaciones", 0
"Solo yo me emociono","Él también se emocionará",0
“Solo yo me emociono”, “Él también se emocionará”, 0
"Soy el único solo", "Estoy aquí", 0
"Cuídame solo a mí", "Habla con tu pareja", 0
"Soy el único que hace horas extras", "Rezaré para que termine pronto", 0
“Creo que solo seré gracioso”, “Sé firme contigo mismo”, 0
“Dicen que soy el único raro”, “El que dijo eso debe ser el más raro”, 0
"Solo que soy raro","El que dijo eso debe ser el mas raro",0
“Me molesto porque soy el único que trabaja”, “Pide distribución de trabajo nuevamente”, 0
"Soy el único que está parado", "No tengas miedo de que no haya progreso", 0
"Como si yo fuera el único en su lugar","Está bien estar en su lugar",0
"Soy el único que no obtuvo un ascenso", "Definitivamente obtendré un ascenso la próxima vez", 0
"¿Creías que yo era el único amigo?", "Parece que te dieron un golpe en la nuca", 0
"Creo que yo era el único amigo", "Ignoren a esos amigos", 0
"No soy el único que lo está pasando mal", "Todo el mundo lo está pasando mal", 0
"Creo que necesito un tiempo para mí", "Necesito un tiempo para hablar conmigo mismo", 0
"Necesito tiempo para mí", "Necesito tiempo para hablar conmigo mismo", 0
"Todos parecen felices menos yo", "Los demás pueden pensar así cuando te ven", 0
"Tuve un mal sueño","Los sueños son lo opuesto a la realidad",0
“Me ignoraron por mi edad”, “Pareces un viejo típico”, 0
“Ignóralo porque es joven”, “Eres un viejo típico”, 0
"¿Puedo conseguir un trabajo cuando sea viejo?", "La edad es solo un número", 0
“Soy viejo, así que tomemos algunos suplementos nutricionales”, “Debes cuidar tu salud desde una edad temprana”, 0
"Derramé más lágrimas a medida que crecí", "Es porque me preocupo por el mundo yo solo", 0
"Me salen arrugas porque envejezco","Es un hermoso anillo de árbol",0
"¿Para qué comes y vives después?", "Encuentra algo que realmente quieras hacer", 0
"Me preocupa qué hacer después", "Encuentra algo que realmente quieras hacer", 0
"Tendré que montar un negocio más tarde","Prepárate despacito",0
“Si no me ocultas nada”, “Creer es lo más importante”, 0
"Espero que no me hayas mentido","Espero que sea una mentira piadosa",0
"¿Qué pasa si me huele mal?", "Enjuague bien y pruebe con suavizante de telas, gel de baño, loción corporal, perfume, etc.",0
